// Wave1: 通常敵の紹介
POP,0,5,0,20.0
WAIT,90
POP,0,-5,0,22.2
WAIT,90
POP,0,0,0,24.3
WAIT,110
// Wave2: 円運動
POP,2,0,2,27.0
WAIT,90
POP,0,6,0,29.1
POP,0,-6,0,29.1
WAIT,110
// Wave3: タンク登場（仲間にできない敵）
POP,1,0,0,31.8
WAIT,70
POP,0,8,0,33.4
POP,0,-8,0,33.4
WAIT,120
// Wave4: 波状
POP,3,5,1,36.3
POP,3,-5,1,36.3
WAIT,120
// Wave5: ホバー
POP,4,6,2,39.2
POP,4,-6,2,39.2
WAIT,90
POP,2,0,2,41.4
WAIT,120
// Wave6: 急降下
POP,5,-5,6,44.2
POP,5,5,6,44.2
WAIT,110
// Wave7: 周回
POP,6,0,1,46.9
WAIT,70
POP,0,7,0,48.6
POP,0,-7,0,48.6
WAIT,120
// Wave8: 混合
POP,1,0,0,51.4
POP,3,5,2,51.4
POP,3,-5,2,51.4
WAIT,100
POP,0,8,0,53.8
POP,0,-8,0,53.8
WAIT,120
// Wave9: ホバー + 波状
POP,4,7,2,56.7
POP,3,5,1,56.7
POP,3,-5,1,56.7
WAIT,120
// Wave10: 急降下 + 円運動
POP,5,0,8,59.6
POP,2,6,1,59.6
POP,2,-6,1,59.6
WAIT,120
// Wave11: 周回 + タンク
POP,6,4,1,62.5
POP,6,-4,1,62.5
POP,1,0,0,62.5
WAIT,140
// Wave12: 通常の波
POP,0,0,0,65.8
POP,0,5,0,65.8
POP,0,-5,0,65.8
POP,0,10,0,65.8
POP,0,-10,0,65.8
WAIT,150
// Wave13: 急降下の連続
POP,5,-7,7,69.4
WAIT,45
POP,5,0,7,70.5
WAIT,45
POP,5,7,7,71.6
WAIT,120
// Wave14: ホバーの壁
POP,4,8,2,74.5
POP,4,0,3,74.5
POP,4,-8,2,74.5
WAIT,140
// Wave15: 周回に囲まれる
POP,6,6,2,77.8
POP,6,-6,2,77.8
POP,6,0,-2,77.8
WAIT,130
// Wave16: タンク2体 + 護衛
POP,1,-6,0,81.0
POP,1,6,0,81.0
POP,3,0,2,81.0
WAIT,150
// ボス戦：1体目。護衛を引き連れて現れる
// 護衛は今まで通り遠くから、ボスだけ近くに出る
POP,7,-5,0,25.6
POP,0,9,1,84.6
POP,0,-9,1,84.6
POP,3,5,2,84.6
POP,3,-5,2,84.6
POP,2,0,3,84.6
WAIT,600
// 10秒後：2体目も護衛つきで現れる
POP,7,5,0,40.0
POP,5,4,7,99.0
POP,5,-4,7,99.0
POP,6,0,0,99.0
WAIT,300
GOAL
